id,location,coordinates,user_key
2492948562.0,USA,"(39.7837304, -100.445882)",JadonHutchinson
2494509505.0,"Калининград, Россия","(54.710128, 20.5105838)",Kotovamarys
2495567768.0,"San Francisco, CA","(37.7790262, -122.419906)",DailySanFran
2498271878.0,United States,"(39.7837304, -100.445882)",interFischer
2501947239.0,"Москва, Россия","(55.625578, 37.6063916)",TaisiaAvdeeva
2504171440.0,Москва,"(55.625578, 37.6063916)",patriotka_rusi
2512420407.0,"Калуга, Россия","(54.5101087, 36.2598115)",russilanrogov
2514979491.0,Я везде,"(61.2749463, 47.0421773)",razvedchica_
2524942055.0,"Москва, Россия","(55.625578, 37.6063916)",ponomarevSlav
2525032463.0,"Ярославль, Россия","(57.6263877, 39.8933705)",ViBorisova
2527537955.0,Москва,"(55.625578, 37.6063916)",ChernenkoNikola
2527804618.0,"Москва, Россия","(55.625578, 37.6063916)",RomanAgafonovv
2527983201.0,Питер,"(59.938732, 30.316229)",StepanSazono
2528245959.0,Москва,"(55.625578, 37.6063916)",VasilichVasili
2528293132.0,Moscow,"(55.625578, 37.6063916)",ErofeenkoAnton
2530603456.0,Москва,"(55.625578, 37.6063916)",Aleksey_Sokol_
2531159968.0,"Washington, DC","(38.8950368, -77.0365427)",traceyhappymom
2532597577.0,USA,"(39.7837304, -100.445882)",BrucieDublin
2532611755.0,Atlanta,"(33.7489924, -84.3902644)",KathieMrr
2533001646.0,USA,"(39.7837304, -100.445882)",Jasper_Fly
2533653547.0,USA,"(39.7837304, -100.445882)",EvaGreen69
2533984805.0,Чита,"(52.033409, 113.500893)",romanGorolov
2535166748.0,USA,"(39.7837304, -100.445882)",PaolaKinck
2535218881.0,Atlanta,"(33.7489924, -84.3902644)",heyheyhailey
2535353390.0,Atlanta,"(33.7489924, -84.3902644)",CalebPaar
2535818742.0,New York,"(40.7127281, -74.0060152)",happkendrahappy
2536146374.0,"Atlanta, Georgia","(33.7489924, -84.3902644)",dannythehappies
2537592520.0,"Барнаул, Россия","(53.3475493, 83.7788448)",Kolradskiy_Zhuk
2540596597.0,"Atlanta, GA","(33.7489924, -84.3902644)",holycrapchrix
2540758755.0,USA,"(39.7837304, -100.445882)",Stanley_Cox_
